연도,월,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위
1996,2,고등어,냉동,1418.474,중품,1,마리
1996,2,갈치,생선,6366.895,중품,1,마리
1996,2,갈치,냉동,4658.579,중품,1,마리
1996,2,명태,생선,3598.684,중품,1,마리
1996,2,명태,냉동,1746.789,중품,1,마리
1996,2,물오징어,생선,1832.632,중품,1,마리
1996,2,물오징어,냉동,1455.684,중품,1,마리
1996,2,건멸치,건멸치,2062.316,중품,100,g
1996,2,건오징어,건오징어,8346.316,중품,10,마리
1996,2,김,김,3853.737,중품,1,속
1996,2,건미역,건미역,10517.526,상품,1,kg
1996,2,굴,굴,9459.842,상품,1,kg
1996,3,쌀,일반계,37546.9,상품,20,kg
1996,3,찹쌀,일반계,2666.2,상품,1,kg
1996,3,콩,백태(국산),1495.4,상품,500,g
1996,3,콩,백태(국산),1376.5,중품,500,g
1996,3,팥,적두(국산),2274.45,상품,500,g
1996,3,팥,적두(국산),2114.85,중품,500,g
1996,3,녹두,국산,3062.05,상품,500,g
1996,3,녹두,국산,2866.8,중품,500,g
1996,3,고구마,밤,1838.3,상품,1,kg
1996,3,고구마,밤,1580.15,중품,1,kg
1996,3,감자,수미,198.15,상품,100,g
1996,3,감자,수미,170.45,중품,100,g
1996,3,배추,봄,2804.333,상품,1,포기
1996,3,배추,봄,2448.833,중품,1,포기
1996,3,배추,가을,2121.5,상품,1,포기
1996,3,배추,가을,1844.15,중품,1,포기
1996,3,양배추,양배추,1654.25,상품,1,포기
1996,3,양배추,양배추,1374.95,중품,1,포기
1996,3,시금치,시금치,2272,상품,1,kg
1996,3,시금치,시금치,1899.6,중품,1,kg
1996,3,상추,청,211.45,상품,100,g
1996,3,상추,청,172.15,중품,100,g
1996,3,참외,참외,19278.333,상품,10,개
1996,3,참외,참외,15848.5,중품,10,개
1996,3,오이,가시계통,3900.85,상품,10,개
1996,3,오이,가시계통,3288.55,중품,10,개
1996,3,오이,다다기계통,4300.85,상품,10,개
1996,3,오이,다다기계통,3539.25,중품,10,개
1996,3,호박,애호박,1101.1,상품,1,개
1996,3,호박,애호박,967.85,중품,1,개
1996,3,호박,쥬키니,595.4,상품,1,개
1996,3,호박,쥬키니,500.3,중품,1,개
1996,3,토마토,토마토,2250.769,상품,1,kg
1996,3,토마토,토마토,1790.769,중품,1,kg
1996,3,딸기,딸기,422.4,상품,100,g
1996,3,딸기,딸기,365.25,중품,100,g
1996,3,무,가을,1285.7,상품,1,개
1996,3,무,가을,1076.25,중품,1,개
1996,3,당근,무세척,1247.75,상품,1,kg
1996,3,당근,무세척,1024.85,중품,1,kg
1996,3,건고추,화건,6388.15,상품,600,g
1996,3,건고추,화건,5879.4,중품,600,g
1996,3,건고추,양건,7266.2,상품,600,g
1996,3,건고추,양건,6781.7,중품,600,g
1996,3,풋고추,풋고추,697.7,상품,100,g
1996,3,풋고추,풋고추,627.05,중품,100,g
1996,3,양파,양파,706.5,상품,1,kg
1996,3,양파,양파,602.4,중품,1,kg
1996,3,파,대파,1277.6,상품,1,kg
1996,3,파,대파,1094.25,중품,1,kg
1996,3,생강,국산,3177.35,상품,1,kg
1996,3,생강,국산,2702.35,중품,1,kg
1996,3,미나리,미나리,2502.5,상품,1,kg
1996,3,미나리,미나리,2148.85,중품,1,kg
1996,3,깐마늘(국산),깐마늘(국산),2776.45,상품,1,kg
1996,3,깐마늘(국산),깐마늘(국산),2364.8,중품,1,kg
1996,3,참깨,백색(국산),6334.1,상품,500,g
1996,3,참깨,백색(국산),5823,중품,500,g
1996,3,참깨,중국,3296.25,중품,500,g
1996,3,땅콩,국산,449.15,상품,100,g
1996,3,땅콩,국산,408.2,중품,100,g
1996,3,땅콩,수입,317.5,중품,100,g
1996,3,사과,후지,7818.2,상품,10,개
1996,3,배,신고,21175,상품,10,개
1996,3,배,만삼길,15000,상품,10,개
1996,3,감귤,감귤,1951.7,상품,10,개
1996,3,단감,단감,6811.65,상품,10,개
1996,3,바나나,수입,159.15,상품,100,g
1996,3,바나나,수입,136,중품,100,g
1996,3,돼지고기,삼겹살(국산냉장),469.55,중품,100,g
1996,3,닭고기,도계,3306.25,중품,1,kg
1996,3,계란,특란,2814.95,중품,30,개
1996,3,고등어,생선,1754.2,중품,1,마리
1996,3,고등어,냉동,1428.35,중품,1,마리
1996,3,갈치,생선,6897.1,중품,1,마리
1996,3,갈치,냉동,4967.3,중품,1,마리
1996,3,명태,생선,3325,중품,1,마리
1996,3,명태,냉동,1718,중품,1,마리
1996,3,물오징어,생선,1928,중품,1,마리
1996,3,물오징어,냉동,1475.05,중품,1,마리
1996,3,건멸치,건멸치,2025.55,중품,100,g
1996,3,건오징어,건오징어,8346.55,중품,10,마리
1996,3,김,김,3780.5,중품,1,속
1996,3,건미역,건미역,10716.65,상품,1,kg
1996,3,굴,굴,9379.75,상품,1,kg
1996,4,쌀,일반계,37938.524,상품,20,kg
1996,4,찹쌀,일반계,2605.381,상품,1,kg
1996,4,콩,백태(국산),1508,상품,500,g
1996,4,콩,백태(국산),1385,중품,500,g
1996,4,팥,적두(국산),2270.762,상품,500,g
1996,4,팥,적두(국산),2116.476,중품,500,g
1996,4,녹두,국산,3130.667,상품,500,g
1996,4,녹두,국산,2923.667,중품,500,g
1996,4,고구마,밤,1920.667,상품,1,kg
1996,4,고구마,밤,1668.381,중품,1,kg
1996,4,감자,수미,190.19,상품,100,g
1996,4,감자,수미,163.095,중품,100,g
1996,4,배추,봄,2958,상품,1,포기
1996,4,배추,봄,2608.333,중품,1,포기
1996,4,배추,가을,3083.048,상품,1,포기
1996,4,배추,가을,2728.095,중품,1,포기
1996,4,양배추,양배추,1544.286,상품,1,포기
1996,4,양배추,양배추,1269.286,중품,1,포기
1996,4,시금치,시금치,1892.429,상품,1,kg
1996,4,시금치,시금치,1557.857,중품,1,kg
1996,4,상추,청,230.524,상품,100,g
1996,4,상추,청,190.238,중품,100,g
1996,4,수박,수박,12736.667,상품,1,개
1996,4,수박,수박,9759.917,중품,1,개
1996,4,참외,참외,18363.143,상품,10,개
1996,4,참외,참외,15156.762,중품,10,개
1996,4,오이,가시계통,4205.143,상품,10,개
1996,4,오이,가시계통,3586.524,중품,10,개
1996,4,오이,다다기계통,3918.238,상품,10,개
1996,4,오이,다다기계통,3235.714,중품,10,개
1996,4,호박,애호박,1011.762,상품,1,개
1996,4,호박,애호박,879.524,중품,1,개
1996,4,호박,쥬키니,568.619,상품,1,개
1996,4,호박,쥬키니,471.571,중품,1,개
1996,4,토마토,토마토,2264.762,상품,1,kg
1996,4,토마토,토마토,1853.333,중품,1,kg
1996,4,딸기,딸기,420,상품,100,g
1996,4,딸기,딸기,367.952,중품,100,g
1996,4,무,봄,2043.5,상품,1,개
1996,4,무,봄,1641.643,중품,1,개
1996,4,무,가을,1496.381,상품,1,개
1996,4,무,가을,1253.714,중품,1,개
1996,4,당근,무세척,1226.952,상품,1,kg
1996,4,당근,무세척,1002.143,중품,1,kg
1996,4,건고추,화건,6406,상품,600,g
1996,4,건고추,화건,5898.238,중품,600,g
1996,4,건고추,양건,7304.381,상품,600,g
1996,4,건고추,양건,6803.333,중품,600,g
1996,4,풋고추,풋고추,607.19,상품,100,g
1996,4,풋고추,풋고추,533.667,중품,100,g
1996,4,양파,양파,1009.476,상품,1,kg
1996,4,양파,양파,883.619,중품,1,kg
1996,4,양파,햇양파,961,상품,1,kg
1996,4,양파,햇양파,830.917,중품,1,kg
1996,4,파,대파,1093.81,상품,1,kg
1996,4,파,대파,915.238,중품,1,kg
1996,4,생강,국산,3188.19,상품,1,kg
1996,4,생강,국산,2713.19,중품,1,kg
1996,4,미나리,미나리,2368.381,상품,1,kg
1996,4,미나리,미나리,2006.857,중품,1,kg
1996,4,깐마늘(국산),깐마늘(국산),2703.952,상품,1,kg
1996,4,깐마늘(국산),깐마늘(국산),2295.524,중품,1,kg
1996,4,참깨,백색(국산),6333,상품,500,g
1996,4,참깨,백색(국산),5813.429,중품,500,g
1996,4,참깨,중국,3291.048,중품,500,g
1996,4,땅콩,국산,450.19,상품,100,g
1996,4,땅콩,국산,410.19,중품,100,g
1996,4,땅콩,수입,317.381,중품,100,g
1996,4,사과,후지,7680.19,상품,10,개
1996,4,배,신고,21320.286,상품,10,개
1996,4,배,만삼길,17500,상품,10,개
1996,4,감귤,감귤,1689.238,상품,10,개
1996,4,단감,단감,6971.619,상품,10,개
1996,4,바나나,수입,175.905,상품,100,g
1996,4,바나나,수입,152.476,중품,100,g
1996,4,돼지고기,삼겹살(국산냉장),469.238,중품,100,g
1996,4,닭고기,도계,3369.476,중품,1,kg
1996,4,계란,특란,2790.19,중품,30,개
1996,4,고등어,생선,1761.667,중품,1,마리
1996,4,고등어,냉동,1419.714,중품,1,마리
1996,4,갈치,생선,6989.905,중품,1,마리
1996,4,갈치,냉동,5008.19,중품,1,마리
1996,4,명태,생선,3109.762,중품,1,마리
1996,4,명태,냉동,1645.143,중품,1,마리
1996,4,물오징어,생선,1940,중품,1,마리
1996,4,물오징어,냉동,1462.714,중품,1,마리
1996,4,건멸치,건멸치,2023.905,중품,100,g
1996,4,건오징어,건오징어,8332.238,중품,10,마리
1996,4,김,김,3690.286,중품,1,속
1996,4,건미역,건미역,10451.571,상품,1,kg
1996,4,굴,굴,9231.667,상품,1,kg
1996,5,쌀,일반계,40054.714,상품,20,kg
1996,5,찹쌀,일반계,2619,상품,1,kg
1996,5,콩,백태(국산),1514.095,상품,500,g
1996,5,콩,백태(국산),1391.095,중품,500,g
1996,5,팥,적두(국산),2255.81,상품,500,g
1996,5,팥,적두(국산),2084.476,중품,500,g
1996,5,녹두,국산,3203.571,상품,500,g
1996,5,녹두,국산,2986.857,중품,500,g
1996,5,고구마,밤,2164.381,상품,1,kg
1996,5,고구마,밤,1887.81,중품,1,kg
1996,5,감자,수미,183.048,상품,100,g
1996,5,감자,수미,158.762,중품,100,g
1996,5,배추,봄,2466.381,상품,1,포기
1996,5,배추,봄,2107.762,중품,1,포기
1996,5,배추,가을,4133.333,상품,1,포기
1996,5,배추,가을,3533.333,중품,1,포기
1996,5,양배추,양배추,1479.571,상품,1,포기
1996,5,양배추,양배추,1203.81,중품,1,포기
1996,5,시금치,시금치,1606.238,상품,1,kg
1996,5,시금치,시금치,1310.143,중품,1,kg
1996,5,상추,청,220.238,상품,100,g
1996,5,상추,청,180.905,중품,100,g
1996,5,수박,수박,13520,상품,1,개
1996,5,수박,수박,10791.714,중품,1,개
1996,5,참외,참외,16156.762,상품,10,개
1996,5,참외,참외,12902.81,중품,10,개
1996,5,오이,가시계통,3411.095,상품,10,개
1996,5,오이,가시계통,2788.429,중품,10,개
1996,5,오이,다다기계통,3201.19,상품,10,개
1996,5,오이,다다기계통,2608.333,중품,10,개
1996,5,호박,애호박,763.905,상품,1,개
1996,5,호박,애호박,646.762,중품,1,개
1996,5,호박,쥬키니,433.143,상품,1,개
1996,5,호박,쥬키니,348.143,중품,1,개
1996,5,토마토,토마토,2144,상품,1,kg
1996,5,토마토,토마토,1743.048,중품,1,kg
1996,5,딸기,딸기,416.048,상품,100,g
1996,5,딸기,딸기,361.476,중품,100,g
1996,5,무,봄,1632.095,상품,1,개
1996,5,무,봄,1337.333,중품,1,개
1996,5,무,가을,1795,상품,1,개
1996,5,무,가을,1500,중품,1,개
1996,5,당근,무세척,1337.524,상품,1,kg
1996,5,당근,무세척,1113.905,중품,1,kg
1996,5,건고추,화건,6374.095,상품,600,g
1996,5,건고추,화건,5866.619,중품,600,g
1996,5,건고추,양건,7269.619,상품,600,g
1996,5,건고추,양건,6759.19,중품,600,g
1996,5,풋고추,풋고추,430.81,상품,100,g
1996,5,풋고추,풋고추,363.667,중품,100,g
1996,5,양파,양파,1144.476,상품,1,kg
1996,5,양파,양파,985.333,중품,1,kg
1996,5,파,대파,956.524,상품,1,kg
1996,5,파,대파,789.762,중품,1,kg
1996,5,생강,국산,3155.714,상품,1,kg
1996,5,생강,국산,2680.714,중품,1,kg
1996,5,미나리,미나리,2042.286,상품,1,kg
1996,5,미나리,미나리,1723.286,중품,1,kg
1996,5,깐마늘(국산),깐마늘(국산),2808.714,상품,1,kg
1996,5,깐마늘(국산),깐마늘(국산),2385.714,중품,1,kg
1996,5,참깨,백색(국산),6333,상품,500,g
1996,5,참깨,백색(국산),5812,중품,500,g
1996,5,참깨,중국,3295.667,중품,500,g
1996,5,땅콩,국산,450.476,상품,100,g
1996,5,땅콩,국산,409.476,중품,100,g
1996,5,땅콩,수입,315,중품,100,g
1996,5,사과,후지,7927.476,상품,10,개
1996,5,배,신고,22066.476,상품,10,개
1996,5,배,만삼길,16702.381,상품,10,개
1996,5,감귤,감귤,1946.5,상품,10,개
1996,5,단감,단감,6722.238,상품,10,개
1996,5,바나나,수입,183.238,상품,100,g
1996,5,바나나,수입,159.952,중품,100,g
1996,5,돼지고기,삼겹살(국산냉장),469.238,중품,100,g
1996,5,닭고기,도계,3062.762,중품,1,kg
1996,5,계란,특란,2746.095,중품,30,개
1996,5,고등어,생선,1870.286,중품,1,마리
1996,5,고등어,냉동,1416.714,중품,1,마리
1996,5,갈치,생선,7062.238,중품,1,마리
1996,5,갈치,냉동,5324.952,중품,1,마리
1996,5,명태,생선,3067.619,중품,1,마리
1996,5,명태,냉동,1620.238,중품,1,마리
1996,5,물오징어,생선,1940,중품,1,마리
1996,5,물오징어,냉동,1492.857,중품,1,마리
1996,5,건멸치,건멸치,2040.762,중품,100,g
1996,5,건오징어,건오징어,8402.524,중품,10,마리
1996,5,김,김,3751.762,중품,1,속
1996,5,건미역,건미역,10275.238,상품,1,kg
1996,5,굴,굴,9206.429,상품,1,kg
1996,6,쌀,일반계,39720.684,상품,20,kg
1996,6,찹쌀,일반계,2655.895,상품,1,kg
1996,6,콩,백태(국산),1570.263,상품,500,g
1996,6,콩,백태(국산),1442.895,중품,500,g
1996,6,팥,적두(국산),2223.211,상품,500,g
1996,6,팥,적두(국산),2050.526,중품,500,g
1996,6,녹두,국산,3292.105,상품,500,g
1996,6,녹두,국산,3052.158,중품,500,g
1996,6,고구마,밤,2117.474,상품,1,kg
1996,6,고구마,밤,1881.474,중품,1,kg
1996,6,감자,수미,144,상품,100,g
1996,6,감자,수미,121.737,중품,100,g
1996,6,배추,봄,1606.105,상품,1,포기
1996,6,배추,봄,1260.474,중품,1,포기
1996,6,양배추,양배추,1596.105,상품,1,포기
1996,6,양배추,양배추,1306.474,중품,1,포기
1996,6,시금치,시금치,1807.737,상품,1,kg
1996,6,시금치,시금치,1508.211,중품,1,kg
1996,6,상추,청,232.158,상품,100,g
1996,6,상추,청,194.526,중품,100,g
1996,6,수박,수박,12971.895,상품,1,개
1996,6,수박,수박,10201.211,중품,1,개
1996,6,참외,참외,12498.684,상품,10,개
1996,6,참외,참외,9737.737,중품,10,개
1996,6,오이,가시계통,3624.211,상품,10,개
1996,6,오이,가시계통,3005.316,중품,10,개
1996,6,오이,다다기계통,2998.947,상품,10,개
1996,6,오이,다다기계통,2542.105,중품,10,개
1996,6,호박,애호박,637.789,상품,1,개
1996,6,호박,애호박,534.105,중품,1,개
1996,6,호박,쥬키니,400.842,상품,1,개
1996,6,호박,쥬키니,330.211,중품,1,개
1996,6,토마토,토마토,2025,상품,1,kg
1996,6,토마토,토마토,1635.947,중품,1,kg
1996,6,딸기,딸기,394.368,상품,100,g
1996,6,딸기,딸기,341.368,중품,100,g
1996,6,무,봄,1151.474,상품,1,개
1996,6,무,봄,903.316,중품,1,개
1996,6,당근,무세척,1776,상품,1,kg
1996,6,당근,무세척,1542.211,중품,1,kg
1996,6,건고추,화건,6276.526,상품,600,g
1996,6,건고추,화건,5768.526,중품,600,g
1996,6,건고추,양건,7162.579,상품,600,g
1996,6,건고추,양건,6646.263,중품,600,g
1996,6,풋고추,풋고추,361.684,상품,100,g
1996,6,풋고추,풋고추,304.421,중품,100,g
1996,6,양파,양파,1028.842,상품,1,kg
1996,6,양파,양파,885.105,중품,1,kg
1996,6,파,대파,1040.947,상품,1,kg
1996,6,파,대파,865.368,중품,1,kg
1996,6,생강,국산,3164.316,상품,1,kg
1996,6,생강,국산,2635.211,중품,1,kg
1996,6,미나리,미나리,1759.053,상품,1,kg
1996,6,미나리,미나리,1461.947,중품,1,kg
1996,6,깐마늘(국산),깐마늘(국산),2859.316,상품,1,kg
1996,6,깐마늘(국산),깐마늘(국산),2437.947,중품,1,kg
1996,6,참깨,백색(국산),6333,상품,500,g
1996,6,참깨,백색(국산),5812,중품,500,g
1996,6,참깨,중국,3304.053,중품,500,g
1996,6,땅콩,국산,455.211,상품,100,g
1996,6,땅콩,국산,415.211,중품,100,g
1996,6,땅콩,수입,315,중품,100,g
1996,6,사과,후지,8490.947,상품,10,개
1996,6,배,신고,21152.895,상품,10,개
1996,6,배,만삼길,15180.842,상품,10,개
1996,6,단감,단감,5500,상품,10,개
1996,6,바나나,수입,192.947,상품,100,g
1996,6,바나나,수입,167.526,중품,100,g
1996,6,돼지고기,삼겹살(국산냉장),473.263,중품,100,g
1996,6,닭고기,도계,2960,중품,1,kg
1996,6,계란,특란,2671.526,중품,30,개
1996,6,고등어,생선,1930.368,중품,1,마리
1996,6,고등어,냉동,1451.368,중품,1,마리
1996,6,갈치,생선,7412.684,중품,1,마리
1996,6,갈치,냉동,5545.579,중품,1,마리
1996,6,명태,생선,3127.368,중품,1,마리
1996,6,명태,냉동,1617,중품,1,마리
1996,6,물오징어,생선,1940,중품,1,마리
1996,6,물오징어,냉동,1494.947,중품,1,마리
1996,6,건멸치,건멸치,2022.526,중품,100,g
1996,6,건오징어,건오징어,8413.684,중품,10,마리
1996,6,김,김,3740.684,중품,1,속
1996,6,건미역,건미역,10233,상품,1,kg
1996,6,굴,굴,9095.263,상품,1,kg
1996,7,쌀,일반계,38760.043,상품,20,kg
1996,7,찹쌀,일반계,2686.348,상품,1,kg
1996,7,콩,백태(국산),1636.783,상품,500,g
1996,7,콩,백태(국산),1510.696,중품,500,g
1996,7,팥,적두(국산),2199.783,상품,500,g
1996,7,팥,적두(국산),2027.391,중품,500,g
1996,7,녹두,국산,3249.913,상품,500,g
1996,7,녹두,국산,2919.174,중품,500,g
1996,7,고구마,밤,2564.696,상품,1,kg
1996,7,고구마,밤,2189.13,중품,1,kg
1996,7,감자,수미,125.478,상품,100,g
1996,7,감자,수미,103.478,중품,100,g
1996,7,배추,봄,1626.077,상품,1,포기
1996,7,배추,봄,1294.231,중품,1,포기
1996,7,배추,고랭지,1866.783,상품,1,포기
1996,7,배추,고랭지,1524.609,중품,1,포기
1996,7,양배추,양배추,1818.652,상품,1,포기
1996,7,양배추,양배추,1508.696,중품,1,포기
1996,7,시금치,시금치,2851.957,상품,1,kg
1996,7,시금치,시금치,2490.261,중품,1,kg
1996,7,상추,청,336.957,상품,100,g
1996,7,상추,청,294.435,중품,100,g
1996,7,수박,수박,12553.565,상품,1,개
1996,7,수박,수박,9751.87,중품,1,개
1996,7,참외,참외,10861.609,상품,10,개
1996,7,참외,참외,8418.87,중품,10,개
1996,7,오이,가시계통,3798.87,상품,10,개
1996,7,오이,가시계통,3202.261,중품,10,개
1996,7,오이,다다기계통,2926.522,상품,10,개
1996,7,오이,다다기계통,2443.087,중품,10,개
1996,7,오이,취청,3840,상품,10,개
1996,7,오이,취청,3196.667,중품,10,개
1996,7,호박,애호박,639.87,상품,1,개
1996,7,호박,애호박,541.913,중품,1,개
1996,7,호박,쥬키니,565.609,상품,1,개
1996,7,호박,쥬키니,476.435,중품,1,개
1996,7,토마토,토마토,2283.522,상품,1,kg
1996,7,토마토,토마토,1889.348,중품,1,kg
1996,7,딸기,딸기,400,상품,100,g
1996,7,딸기,딸기,351.455,중품,100,g
1996,7,무,봄,1129.211,상품,1,개
1996,7,무,봄,895.737,중품,1,개
1996,7,무,고랭지,1176.652,상품,1,개
1996,7,무,고랭지,944.087,중품,1,개
1996,7,당근,무세척,2271.174,상품,1,kg
1996,7,당근,무세척,2011,중품,1,kg
1996,7,건고추,화건,6095.217,상품,600,g
1996,7,건고추,화건,5595.826,중품,600,g
1996,7,건고추,양건,7043.043,상품,600,g
1996,7,건고추,양건,6532.391,중품,600,g
1996,7,풋고추,풋고추,317,상품,100,g
1996,7,풋고추,풋고추,258.87,중품,100,g
1996,7,양파,양파,990.609,상품,1,kg
1996,7,양파,양파,850.391,중품,1,kg
1996,7,파,대파,1083.174,상품,1,kg
1996,7,파,대파,905.87,중품,1,kg
1996,7,생강,국산,3903.652,상품,1,kg
1996,7,생강,국산,3330.087,중품,1,kg
1996,7,미나리,미나리,1902.261,상품,1,kg
1996,7,미나리,미나리,1605,중품,1,kg
1996,7,깐마늘(국산),깐마늘(국산),3075.826,상품,1,kg
